Date,State,People Vaccinated,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Doses Administered
16-01-2021,Andaman and Nicobar Islands,23,23,0,12,11,23
17-01-2021,Andaman and Nicobar Islands,23,23,0,12,11,23
18-01-2021,Andaman and Nicobar Islands,42,42,0,29,13,42
19-01-2021,Andaman and Nicobar Islands,89,89,0,53,36,89
20-01-2021,Andaman and Nicobar Islands,124,124,0,67,57,124
21-01-2021,Andaman and Nicobar Islands,239,239,0,110,129,239
22-01-2021,Andaman and Nicobar Islands,552,552,0,231,321,552
23-01-2021,Andaman and Nicobar Islands,920,920,0,342,578,920
24-01-2021,Andaman and Nicobar Islands,966,966,0,357,609,966
25-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,1519
26-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,1519
27-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,1519
28-01-2021,Andaman and Nicobar Islands,1956,1956,0,563,1393,1956
29-01-2021,Andaman and Nicobar Islands,2024,2024,0,588,1436,2024
30-01-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,2060
31-01-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,2060
01-02-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,2060
02-02-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,2060
03-02-2021,Andaman and Nicobar Islands,2107,2107,0,601,1506,2107
04-02-2021,Andaman and Nicobar Islands,2290,2290,0,659,1631,2290
05-02-2021,Andaman and Nicobar Islands,2514,2514,0,705,1809,2514
06-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
07-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
08-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
09-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
10-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
11-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,2780
12-02-2021,Andaman and Nicobar Islands,2852,2852,0,773,2079,2852
13-02-2021,Andaman and Nicobar Islands,3040,3040,0,938,2102,3040
14-02-2021,Andaman and Nicobar Islands,3040,3040,0,938,2102,3040
15-02-2021,Andaman and Nicobar Islands,3363,3363,104,1176,2187,3467
16-02-2021,Andaman and Nicobar Islands,3363,3363,104,1176,2187,3467
17-02-2021,Andaman and Nicobar Islands,3560,3560,104,1343,2217,3664
18-02-2021,Andaman and Nicobar Islands,3505,3505,341,1455,2050,3846
19-02-2021,Andaman and Nicobar Islands,4246,4246,652,1805,2441,4898
20-02-2021,Andaman and Nicobar Islands,4707,4707,946,2221,2486,5653
21-02-2021,Andaman and Nicobar Islands,4707,4707,946,2221,2486,5653
22-02-2021,Andaman and Nicobar Islands,5358,5358,1498,2773,2585,6856
23-02-2021,Andaman and Nicobar Islands,5436,5436,1622,2831,2605,7058
24-02-2021,Andaman and Nicobar Islands,5518,5518,1722,2896,2622,7240
25-02-2021,Andaman and Nicobar Islands,5867,5867,1896,3103,2764,7763
26-02-2021,Andaman and Nicobar Islands,6029,6029,1960,3205,2824,7989
27-02-2021,Andaman and Nicobar Islands,6029,6029,1960,3205,2824,7989
28-02-2021,Andaman and Nicobar Islands,6029,6029,1960,3205,2824,7989
01-03-2021,Andaman and Nicobar Islands,6029,6029,1960,3205,2824,7989
02-03-2021,Andaman and Nicobar Islands,6638,6638,2086,3630,3008,8724
03-03-2021,Andaman and Nicobar Islands,6749,6749,2088,3721,3028,8837
04-03-2021,Andaman and Nicobar Islands,7266,7266,2095,4133,3133,9361
05-03-2021,Andaman and Nicobar Islands,7799,7799,2098,4559,3240,9897
06-03-2021,Andaman and Nicobar Islands,8288,8288,2210,4915,3373,10498
07-03-2021,Andaman and Nicobar Islands,8848,8848,2253,5251,3597,11101
08-03-2021,Andaman and Nicobar Islands,9629,9629,2375,5872,3757,12004
09-03-2021,Andaman and Nicobar Islands,9932,7542,2390,6068,3864,9932
10-03-2021,Andaman and Nicobar Islands,10161,7735,2426,6211,3950,10161
11-03-2021,Andaman and Nicobar Islands,10704,8218,2486,6591,4113,10704
12-03-2021,Andaman and Nicobar Islands,11321,8735,2586,6977,4344,11321
13-03-2021,Andaman and Nicobar Islands,11638,8899,2739,7188,4450,11638
14-03-2021,Andaman and Nicobar Islands,11693,8926,2767,7218,4475,11693
15-03-2021,Andaman and Nicobar Islands,12045,9202,2843,7401,4644,12045
16-03-2021,Andaman and Nicobar Islands,11950,11950,2876,7391,4559,14826
17-03-2021,Andaman and Nicobar Islands,12509,12509,2980,7719,4790,15489
18-03-2021,Andaman and Nicobar Islands,12948,12948,3183,7962,4986,16131
19-03-2021,Andaman and Nicobar Islands,13293,13293,3319,8148,5145,16612
20-03-2021,Andaman and Nicobar Islands,13852,13852,3599,8440,5412,17451
21-03-2021,Andaman and Nicobar Islands,13868,13868,3610,8449,5419,17478
22-03-2021,Andaman and Nicobar Islands,14327,14327,3758,8706,5621,18085
23-03-2021,Andaman and Nicobar Islands,15017,15017,4104,9055,5962,19121
24-03-2021,Andaman and Nicobar Islands,15247,15247,4446,9159,6088,19693
25-03-2021,Andaman and Nicobar Islands,15652,15652,4666,9355,6297,20318
26-03-2021,Andaman and Nicobar Islands,15933,15933,4856,9518,6415,20789
27-03-2021,Andaman and Nicobar Islands,16292,16292,5064,9709,6583,21356
28-03-2021,Andaman and Nicobar Islands,16293,16293,5065,9710,6583,21358
29-03-2021,Andaman and Nicobar Islands,16292,16292,5065,9709,6583,21357
30-03-2021,Andaman and Nicobar Islands,16701,16701,5139,9939,6762,21840
31-03-2021,Andaman and Nicobar Islands,16798,16798,5140,9989,6809,21938
01-04-2021,Andaman and Nicobar Islands,17435,17435,5173,10347,7088,22608
02-04-2021,Andaman and Nicobar Islands,17559,17559,5179,10407,7152,22738
03-04-2021,Andaman and Nicobar Islands,17998,17998,5223,10633,7365,23221
04-04-2021,Andaman and Nicobar Islands,18677,18677,5224,10996,7681,23901
05-04-2021,Andaman and Nicobar Islands,19499,19499,5275,11437,8062,24774
06-04-2021,Andaman and Nicobar Islands,20445,20445,5321,11897,8548,25766
07-04-2021,Andaman and Nicobar Islands,22631,22631,5347,12986,9645,27978
08-04-2021,Andaman and Nicobar Islands,25363,25363,5403,14405,10957,30766
09-04-2021,Andaman and Nicobar Islands,27698,27698,5519,15582,12115,33217
10-04-2021,Andaman and Nicobar Islands,29863,29863,5570,16690,13172,35433
11-04-2021,Andaman and Nicobar Islands,32012,32012,5612,17866,14145,37624
12-04-2021,Andaman and Nicobar Islands,36572,36572,5713,20175,16392,42285
13-04-2021,Andaman and Nicobar Islands,43013,43013,5832,23433,19575,48845
14-04-2021,Andaman and Nicobar Islands,49654,49654,5941,26959,22690,55595
15-04-2021,Andaman and Nicobar Islands,54778,54778,6079,29685,25088,60857
16-04-2021,Andaman and Nicobar Islands,61339,61339,6323,33196,28138,67662
17-04-2021,Andaman and Nicobar Islands,67451,67451,6568,36435,31010,74019
18-04-2021,Andaman and Nicobar Islands,71275,71275,6878,38500,32769,78153
19-04-2021,Andaman and Nicobar Islands,75675,75675,7353,40893,34776,83028
20-04-2021,Andaman and Nicobar Islands,78973,78973,7937,42718,36248,86910
21-04-2021,Andaman and Nicobar Islands,80901,80901,8171,43818,37076,89072
22-04-2021,Andaman and Nicobar Islands,83233,83233,8600,45145,38081,91833
23-04-2021,Andaman and Nicobar Islands,85201,85201,8965,46215,38978,94166
24-04-2021,Andaman and Nicobar Islands,86796,86796,9297,47109,39679,96093
25-04-2021,Andaman and Nicobar Islands,87865,87865,9527,47711,40146,97392
26-04-2021,Andaman and Nicobar Islands,89290,89290,9819,48496,40786,99109
27-04-2021,Andaman and Nicobar Islands,90454,90454,10117,49116,41330,100571
28-04-2021,Andaman and Nicobar Islands,91394,91394,10376,49622,41764,101770
29-04-2021,Andaman and Nicobar Islands,92417,92417,10581,50235,42174,102998
30-04-2021,Andaman and Nicobar Islands,93493,93493,10881,50804,42681,104374
01-05-2021,Andaman and Nicobar Islands,94002,94002,11088,51106,42888,105090
02-05-2021,Andaman and Nicobar Islands,94125,94125,11160,51165,42952,105285
03-05-2021,Andaman and Nicobar Islands,94633,94633,11617,51480,43145,106250
04-05-2021,Andaman and Nicobar Islands,95064,95064,11954,51742,43314,107018
05-05-2021,Andaman and Nicobar Islands,95500,95500,12455,51982,43510,107955
06-05-2021,Andaman and Nicobar Islands,96229,96229,12831,52233,43988,109060
07-05-2021,Andaman and Nicobar Islands,96970,96970,13191,52490,44472,110161
08-05-2021,Andaman and Nicobar Islands,97639,97639,13529,52749,44882,111168
09-05-2021,Andaman and Nicobar Islands,97748,97748,13537,52760,44980,111285
10-05-2021,Andaman and Nicobar Islands,98439,98439,13964,53054,45377,112403
11-05-2021,Andaman and Nicobar Islands,98845,98845,14174,53254,45583,113019
12-05-2021,Andaman and Nicobar Islands,99218,99218,14404,53438,45772,113622
13-05-2021,Andaman and Nicobar Islands,99602,99602,14798,53657,45937,114400
14-05-2021,Andaman and Nicobar Islands,99690,99690,14808,53698,45984,114498
15-05-2021,Andaman and Nicobar Islands,100058,100058,15130,53903,46147,115188
16-05-2021,Andaman and Nicobar Islands,100058,100058,15130,53903,46147,115188
17-05-2021,Andaman and Nicobar Islands,100492,100492,15135,54080,46403,115627
18-05-2021,Andaman and Nicobar Islands,100773,100773,15138,54206,46558,115911
19-05-2021,Andaman and Nicobar Islands,101277,101277,15150,54473,46795,116427
20-05-2021,Andaman and Nicobar Islands,102027,102027,15153,54922,47096,117180
21-05-2021,Andaman and Nicobar Islands,102795,102795,15155,55368,47418,117950
22-05-2021,Andaman and Nicobar Islands,103605,103605,15156,55814,47782,118761
23-05-2021,Andaman and Nicobar Islands,103988,103988,15156,55995,47984,119144
24-05-2021,Andaman and Nicobar Islands,104439,104439,15156,56243,48187,119595
25-05-2021,Andaman and Nicobar Islands,105124,105124,15158,56625,48490,120282
26-05-2021,Andaman and Nicobar Islands,105933,105933,15158,57048,48876,121091
27-05-2021,Andaman and Nicobar Islands,106548,106548,15161,57379,49160,121709
28-05-2021,Andaman and Nicobar Islands,107304,107304,15162,57843,49452,122466
29-05-2021,Andaman and Nicobar Islands,108317,108317,15166,58415,49893,123483
30-05-2021,Andaman and Nicobar Islands,108559,108559,15166,58529,50021,123725
31-05-2021,Andaman and Nicobar Islands,109087,109087,15181,58809,50269,124268
01-06-2021,Andaman and Nicobar Islands,109821,109821,15186,59205,50607,125007
02-06-2021,Andaman and Nicobar Islands,110323,110323,15191,59440,50874,125514
03-06-2021,Andaman and Nicobar Islands,111001,111001,15199,59832,51160,126200
04-06-2021,Andaman and Nicobar Islands,111506,111506,15207,60106,51391,126713
05-06-2021,Andaman and Nicobar Islands,111971,111971,15223,60338,51624,127194
06-06-2021,Andaman and Nicobar Islands,111979,111979,15223,60343,51627,127202
07-06-2021,Andaman and Nicobar Islands,112507,112507,15252,60589,51909,127759
16-01-2021,Andhra Pradesh,4216,4216,0,857,3359,4216
17-01-2021,Andhra Pradesh,9251,9251,0,1876,7374,9251
18-01-2021,Andhra Pradesh,12234,12234,0,2974,9260,12234
19-01-2021,Andhra Pradesh,25539,25539,0,9564,15975,25539
20-01-2021,Andhra Pradesh,35901,35901,0,10940,24961,35901
21-01-2021,Andhra Pradesh,45040,45040,0,12812,32228,45040
22-01-2021,Andhra Pradesh,55697,55697,0,15918,39779,55697
23-01-2021,Andhra Pradesh,70380,70380,0,20177,50203,70380
24-01-2021,Andhra Pradesh,74221,74221,0,20948,53272,74221
25-01-2021,Andhra Pradesh,89879,89879,0,25497,64381,89879
26-01-2021,Andhra Pradesh,90616,90616,0,25689,64926,90616
27-01-2021,Andhra Pradesh,107999,107999,0,31152,76840,107999
28-01-2021,Andhra Pradesh,117543,117543,0,34950,82580,117543
29-01-2021,Andhra Pradesh,124647,124647,0,37524,87110,124647
30-01-2021,Andhra Pradesh,133571,133571,0,40740,92814,133571
31-01-2021,Andhra Pradesh,133623,133623,0,40757,92849,133623
01-02-2021,Andhra Pradesh,133642,133642,0,40763,92862,133642
02-02-2021,Andhra Pradesh,133646,133646,0,40765,92864,133646
03-02-2021,Andhra Pradesh,161302,161302,0,56129,105152,161302
04-02-2021,Andhra Pradesh,188704,188704,0,72231,116449,188704
05-02-2021,Andhra Pradesh,218899,218899,0,90167,128708,218899
06-02-2021,Andhra Pradesh,245938,245938,0,105960,139953,245938
07-02-2021,Andhra Pradesh,249205,249205,0,108137,141043,249205
08-02-2021,Andhra Pradesh,263588,263588,0,116724,146839,263588
09-02-2021,Andhra Pradesh,275654,275654,0,124433,151194,275654
10-02-2021,Andhra Pradesh,286401,286401,0,131060,155314,286401
11-02-2021,Andhra Pradesh,294574,294574,0,135823,158721,294574
12-02-2021,Andhra Pradesh,303031,303031,0,140600,162400,303031
13-02-2021,Andhra Pradesh,313507,313507,6233,144054,169422,319740
14-02-2021,Andhra Pradesh,313509,313509,6234,144055,169423,319743
15-02-2021,Andhra Pradesh,329041,329041,16789,148538,180470,345830
16-02-2021,Andhra Pradesh,344146,344146,26734,153041,191072,370880
17-02-2021,Andhra Pradesh,364844,364844,38007,160016,204789,402851
18-02-2021,Andhra Pradesh,359785,359785,54253,160812,198938,414038
19-02-2021,Andhra Pradesh,403279,403279,73226,174122,229118,476505
20-02-2021,Andhra Pradesh,413818,413818,87470,179244,234535,501288
21-02-2021,Andhra Pradesh,418634,418634,90410,181302,237293,509044
22-02-2021,Andhra Pradesh,431789,431789,102718,188071,243679,534507
23-02-2021,Andhra Pradesh,448490,448490,110993,196967,251481,559483
24-02-2021,Andhra Pradesh,476866,476866,119461,217419,259404,596327
25-02-2021,Andhra Pradesh,510185,510185,129002,240092,270049,639187
26-02-2021,Andhra Pradesh,535955,535955,137812,256973,278935,673767
27-02-2021,Andhra Pradesh,535955,535955,137812,256973,278935,673767
28-02-2021,Andhra Pradesh,535955,535955,137812,256973,278935,673767
01-03-2021,Andhra Pradesh,535955,535955,137812,256973,278935,673767
02-03-2021,Andhra Pradesh,559569,559569,142466,272575,286947,702035
03-03-2021,Andhra Pradesh,577662,577662,146457,284104,293510,724119
04-03-2021,Andhra Pradesh,596324,596324,153121,295529,300746,749445
05-03-2021,Andhra Pradesh,620332,620332,164927,309536,310748,785259
06-03-2021,Andhra Pradesh,653058,653058,183119,328100,324908,836177
07-03-2021,Andhra Pradesh,653146,653146,183191,328113,324983,836337
08-03-2021,Andhra Pradesh,688936,688936,197239,348024,340859,886175
09-03-2021,Andhra Pradesh,740389,530098,210291,376301,364030,740389
10-03-2021,Andhra Pradesh,781210,561939,219271,398607,382539,781210
11-03-2021,Andhra Pradesh,789453,568693,220760,403348,386041,789453
12-03-2021,Andhra Pradesh,837831,606440,231391,429298,408467,837831
13-03-2021,Andhra Pradesh,881112,643857,237255,452180,428861,881112
14-03-2021,Andhra Pradesh,881921,644610,237311,452618,429232,881921
15-03-2021,Andhra Pradesh,955901,708969,246932,492123,463692,955901
16-03-2021,Andhra Pradesh,976078,976078,257997,501439,474547,1234075
17-03-2021,Andhra Pradesh,1112607,1112607,268353,574770,537734,1380960
18-03-2021,Andhra Pradesh,1194255,1194255,277788,618525,575611,1472043
19-03-2021,Andhra Pradesh,1280956,1280956,288175,664137,616691,1569131
20-03-2021,Andhra Pradesh,1381802,1381802,299199,716836,664828,1681001
21-03-2021,Andhra Pradesh,1389085,1389085,300606,720620,668325,1689691
22-03-2021,Andhra Pradesh,1494286,1494286,309052,775360,718779,1803338
23-03-2021,Andhra Pradesh,1617797,1617797,321365,839203,778435,1939162
24-03-2021,Andhra Pradesh,1729748,1729748,332585,897812,831772,2062333
25-03-2021,Andhra Pradesh,1864559,1864559,347093,967527,896857,2211652
26-03-2021,Andhra Pradesh,1960827,1960827,359786,1018958,941678,2320613
27-03-2021,Andhra Pradesh,2078246,2078246,372864,1079183,998859,2451110
28-03-2021,Andhra Pradesh,2086565,2086565,374450,1083308,1003053,2461015
29-03-2021,Andhra Pradesh,2149525,2149525,377596,1115491,1033824,2527121
30-03-2021,Andhra Pradesh,2234331,2234331,387438,1159964,1074147,2621769
31-03-2021,Andhra Pradesh,2328018,2328018,397151,1206900,1120885,2725169
01-04-2021,Andhra Pradesh,2421043,2421043,404678,1253157,1167646,2825721
02-04-2021,Andhra Pradesh,2487480,2487480,411067,1286771,1200459,2898547
03-04-2021,Andhra Pradesh,2566814,2566814,420023,1325949,1240608,2986837
04-04-2021,Andhra Pradesh,2621707,2621707,425861,1352129,1269318,3047568
05-04-2021,Andhra Pradesh,2706804,2706804,436010,1392670,1313862,3142814
06-04-2021,Andhra Pradesh,2764322,2764322,443595,1419795,1344250,3207917
07-04-2021,Andhra Pradesh,2890332,2890332,461678,1479792,1410248,3352010
08-04-2021,Andhra Pradesh,3020007,3020007,476360,1540961,1478742,3496367
09-04-2021,Andhra Pradesh,3081066,3081066,490040,1572089,1508662,3571106
10-04-2021,Andhra Pradesh,3281351,3281351,521886,1670720,1610286,3803237
11-04-2021,Andhra Pradesh,3362926,3362926,529533,1710124,1652442,3892459
12-04-2021,Andhra Pradesh,3380423,3380423,533246,1719378,1660680,3913669
13-04-2021,Andhra Pradesh,3383754,3383754,534765,1721192,1662197,3918519
14-04-2021,Andhra Pradesh,3973533,3973533,585223,2001124,1971969,4558756
15-04-2021,Andhra Pradesh,4003901,4003901,593541,2016874,1986583,4597442
16-04-2021,Andhra Pradesh,4007469,4007469,596253,2018845,1988180,4603722
17-04-2021,Andhra Pradesh,4009940,4009940,597920,2020113,1989380,4607860
18-04-2021,Andhra Pradesh,4013140,4013140,599876,2021729,1990964,4613016
19-04-2021,Andhra Pradesh,4140526,4140526,616056,2091593,2048468,4756582
20-04-2021,Andhra Pradesh,4234572,4234572,692783,2143599,2090498,4927355
21-04-2021,Andhra Pradesh,4257182,4257182,711267,2156651,2100050,4968449
22-04-2021,Andhra Pradesh,4337021,4337021,990865,2198899,2137627,5327886
23-04-2021,Andhra Pradesh,4464620,4464620,1090159,2267153,2196954,5554779
24-04-2021,Andhra Pradesh,4543318,4543318,1126549,2310508,2232281,5669867
25-04-2021,Andhra Pradesh,4547972,4547972,1130670,2313082,2234361,5678642
26-04-2021,Andhra Pradesh,4761686,4761686,1224397,2427613,2333503,5986083
27-04-2021,Andhra Pradesh,4904030,4904030,1273663,2504587,2398847,6177693
28-04-2021,Andhra Pradesh,4955046,4955046,1326903,2532259,2422187,6281949
29-04-2021,Andhra Pradesh,4988411,4988411,1365430,2550447,2437361,6353841
30-04-2021,Andhra Pradesh,5112011,5112011,1467023,2617576,2493805,6579034
01-05-2021,Andhra Pradesh,5174960,5174960,1519337,2651598,2522724,6694297
02-05-2021,Andhra Pradesh,5176393,5176393,1519932,2652440,2523315,6696325
03-05-2021,Andhra Pradesh,5195851,5195851,1536916,2663314,2531894,6732767
04-05-2021,Andhra Pradesh,5204180,5204180,1543848,2668179,2535341,6748028
05-05-2021,Andhra Pradesh,5273196,5273196,1674029,2705002,2567518,6947225
06-05-2021,Andhra Pradesh,5345545,5345545,1794561,2741996,2602857,7140106
07-05-2021,Andhra Pradesh,5393064,5393064,1862155,2766788,2625576,7255219
08-05-2021,Andhra Pradesh,5436592,5436592,1974208,2788681,2647201,7410800
09-05-2021,Andhra Pradesh,5443382,5443382,1982310,2792615,2650055,7425692
10-05-2021,Andhra Pradesh,5443951,5443951,1983827,2792927,2650312,7427778
11-05-2021,Andhra Pradesh,5450913,5450913,2012986,2796374,2653826,7463899
12-05-2021,Andhra Pradesh,5459958,5459958,2044436,2801005,2658237,7504394
13-05-2021,Andhra Pradesh,5470083,5470083,2081862,2806378,2662988,7551945
14-05-2021,Andhra Pradesh,5474544,5474544,2096342,2808596,2665231,7570886
15-05-2021,Andhra Pradesh,5484714,5484714,2167213,2813644,2670349,7651927
16-05-2021,Andhra Pradesh,5487757,5487757,2176599,2815330,2671705,7664356
17-05-2021,Andhra Pradesh,5504954,5504954,2226300,2824795,2679434,7731254
18-05-2021,Andhra Pradesh,5518465,5518465,2281240,2832373,2685367,7799705
19-05-2021,Andhra Pradesh,5529872,5529872,2305532,2838551,2690596,7835404
20-05-2021,Andhra Pradesh,5540108,5540108,2318134,2844499,2694884,7858242
21-05-2021,Andhra Pradesh,5553124,5553124,2340398,2851383,2701013,7893522
22-05-2021,Andhra Pradesh,5564360,5564360,2347996,2858192,2705438,7912356
23-05-2021,Andhra Pradesh,5565702,5565702,2350645,2858966,2706006,7916347
24-05-2021,Andhra Pradesh,5657964,5657964,2366723,2909409,2747806,8024687
25-05-2021,Andhra Pradesh,5791183,5791183,2375130,2983569,2806843,8166313
26-05-2021,Andhra Pradesh,6077585,6077585,2383913,3130910,2945858,8461498
27-05-2021,Andhra Pradesh,6646298,6646298,2395375,3411217,3234113,9041673
28-05-2021,Andhra Pradesh,7076650,7076650,2412746,3621182,3454426,9489396
29-05-2021,Andhra Pradesh,7274735,7274735,2481535,3717102,3556563,9756270
30-05-2021,Andhra Pradesh,7288465,7288465,2484459,3723835,3563555,9772924
31-05-2021,Andhra Pradesh,7356423,7356423,2512324,3757692,3597643,9868747
01-06-2021,Andhra Pradesh,7553586,7553586,2529829,3853058,3699410,10083415
02-06-2021,Andhra Pradesh,7696078,7696078,2547764,3922543,3772396,10243842
03-06-2021,Andhra Pradesh,7786969,7786969,2554332,3965736,3820087,10341301
04-06-2021,Andhra Pradesh,8141170,8141170,2567240,4135672,4004213,10708410
05-06-2021,Andhra Pradesh,8231348,8231348,2572474,4180641,4049412,10803822
06-06-2021,Andhra Pradesh,8293652,8293652,2576319,4210095,4082255,10869971
07-06-2021,Andhra Pradesh,8429887,8429887,2583734,4279146,4149418,11013621
16-01-2021,Arunachal Pradesh,81,81,0,40,41,81
17-01-2021,Arunachal Pradesh,178,178,0,70,108,178
18-01-2021,Arunachal Pradesh,560,560,0,119,441,560
19-01-2021,Arunachal Pradesh,574,574,0,122,452,574
20-01-2021,Arunachal Pradesh,601,601,0,133,468,601
21-01-2021,Arunachal Pradesh,1154,1154,0,302,852,1154
22-01-2021,Arunachal Pradesh,1818,1818,0,428,1390,1818
23-01-2021,Arunachal Pradesh,2446,2446,0,586,1860,2446
24-01-2021,Arunachal Pradesh,2529,2529,0,609,1920,2529
25-01-2021,Arunachal Pradesh,3442,3442,0,837,2605,3442
26-01-2021,Arunachal Pradesh,3462,3462,0,848,2614,3462
27-01-2021,Arunachal Pradesh,3998,3998,0,1017,2981,3998
28-01-2021,Arunachal Pradesh,5470,5470,0,1363,4107,5470
29-01-2021,Arunachal Pradesh,6106,6106,0,1491,4615,6106
30-01-2021,Arunachal Pradesh,6491,6491,0,1543,4948,6491
31-01-2021,Arunachal Pradesh,6525,6525,0,1556,4969,6525
01-02-2021,Arunachal Pradesh,6668,6668,0,1570,5098,6668
02-02-2021,Arunachal Pradesh,6668,6668,0,1570,5098,6668
03-02-2021,Arunachal Pradesh,6758,6758,0,1597,5161,6758
04-02-2021,Arunachal Pradesh,7785,7785,0,1832,5953,7785
05-02-2021,Arunachal Pradesh,8745,8745,0,2148,6597,8745
06-02-2021,Arunachal Pradesh,9288,9288,0,2271,7017,9288
07-02-2021,Arunachal Pradesh,9292,9292,0,2272,7020,9292
08-02-2021,Arunachal Pradesh,10438,10438,0,2840,7598,10438
09-02-2021,Arunachal Pradesh,10465,10465,0,2864,7601,10465
10-02-2021,Arunachal Pradesh,10529,10529,0,2888,7641,10529
11-02-2021,Arunachal Pradesh,11372,11372,0,3352,8020,11372
12-02-2021,Arunachal Pradesh,12173,12173,0,3853,8320,12173
13-02-2021,Arunachal Pradesh,13251,13251,456,4532,8719,13707
14-02-2021,Arunachal Pradesh,13274,13274,456,4554,8720,13730
15-02-2021,Arunachal Pradesh,15434,15434,1584,5721,9713,17018
16-02-2021,Arunachal Pradesh,15546,15546,1584,5813,9733,17130
17-02-2021,Arunachal Pradesh,15552,15552,1584,5819,9733,17136
18-02-2021,Arunachal Pradesh,17389,17389,3032,7186,10203,20421
19-02-2021,Arunachal Pradesh,19872,19872,4110,8535,11337,23982
20-02-2021,Arunachal Pradesh,20018,20018,4220,8655,11363,24238
21-02-2021,Arunachal Pradesh,20018,20018,4220,8655,11363,24238
22-02-2021,Arunachal Pradesh,21550,21550,5354,9962,11588,26904
23-02-2021,Arunachal Pradesh,22757,22757,5687,11000,11757,28444
24-02-2021,Arunachal Pradesh,22781,22781,5687,11020,11761,28468
25-02-2021,Arunachal Pradesh,24649,24649,6560,12613,12036,31209
26-02-2021,Arunachal Pradesh,25903,25903,6962,13740,12163,32865
27-02-2021,Arunachal Pradesh,25903,25903,6962,13740,12163,32865
28-02-2021,Arunachal Pradesh,25903,25903,6962,13740,12163,32865
01-03-2021,Arunachal Pradesh,25903,25903,6962,13740,12163,32865
02-03-2021,Arunachal Pradesh,29841,29841,7649,17272,12569,37490
03-03-2021,Arunachal Pradesh,30253,30253,7684,17595,12658,37937
04-03-2021,Arunachal Pradesh,33136,33136,8262,19791,13345,41398
05-03-2021,Arunachal Pradesh,35734,35734,9147,21733,14001,44881
06-03-2021,Arunachal Pradesh,37249,37249,9652,22719,14530,46901
07-03-2021,Arunachal Pradesh,37299,37299,9661,22751,14548,46960
08-03-2021,Arunachal Pradesh,39451,39451,10499,24124,15327,49950
09-03-2021,Arunachal Pradesh,41504,30634,10870,25063,16441,41504
10-03-2021,Arunachal Pradesh,41675,30769,10906,25163,16512,41675
11-03-2021,Arunachal Pradesh,44509,32947,11562,26894,17615,44509
12-03-2021,Arunachal Pradesh,46763,34659,12104,28270,18493,46763
13-03-2021,Arunachal Pradesh,48143,35595,12548,29198,18945,48143
14-03-2021,Arunachal Pradesh,48215,35654,12561,29252,18963,48215
15-03-2021,Arunachal Pradesh,51378,38085,13293,31181,20197,51378
16-03-2021,Arunachal Pradesh,49653,49653,13751,30356,19297,63404
17-03-2021,Arunachal Pradesh,50078,50078,13792,30619,19459,63870
18-03-2021,Arunachal Pradesh,52511,52511,14731,32146,20365,67242
19-03-2021,Arunachal Pradesh,54173,54173,15556,33068,21104,69729
20-03-2021,Arunachal Pradesh,55919,55919,16075,34163,21755,71994
21-03-2021,Arunachal Pradesh,56082,56082,16094,34242,21839,72176
22-03-2021,Arunachal Pradesh,58541,58541,16876,35693,22847,75417
23-03-2021,Arunachal Pradesh,60221,60221,17540,36567,23652,77761
24-03-2021,Arunachal Pradesh,60269,60269,17557,36551,23716,77826
25-03-2021,Arunachal Pradesh,62868,62868,18256,37964,24847,81124
26-03-2021,Arunachal Pradesh,64976,64976,19035,39191,25721,84011
27-03-2021,Arunachal Pradesh,66980,66980,19181,40208,26708,86161
28-03-2021,Arunachal Pradesh,67041,67041,19233,40246,26731,86274
29-03-2021,Arunachal Pradesh,67464,67464,19250,40500,26900,86714
30-03-2021,Arunachal Pradesh,68649,68649,19996,41103,27482,88645
31-03-2021,Arunachal Pradesh,68791,68791,20003,41146,27581,88794
01-04-2021,Arunachal Pradesh,73266,73266,21456,43520,29682,94722
02-04-2021,Arunachal Pradesh,75047,75047,21835,44401,30582,96882
03-04-2021,Arunachal Pradesh,78114,78114,22620,46016,32034,100734
04-04-2021,Arunachal Pradesh,79783,79783,22825,46817,32902,102608
05-04-2021,Arunachal Pradesh,82757,82757,23931,48378,34315,106688
06-04-2021,Arunachal Pradesh,84581,84581,24583,49360,35157,109164
07-04-2021,Arunachal Pradesh,88000,88000,25682,51221,36714,113682
08-04-2021,Arunachal Pradesh,93106,93106,27291,53829,39212,120397
09-04-2021,Arunachal Pradesh,97939,97939,28524,56374,41500,126463
10-04-2021,Arunachal Pradesh,101756,101756,29546,58554,43136,131302
11-04-2021,Arunachal Pradesh,104975,104975,30001,60353,44556,134976
